Order ID,Order Date,Customer ID,Product Name,Category,City,Quantity,Sales,Profit,Rating
ORD1000,2024-01-01,CUST202,Watch,Electronics,Chennai,2,39562,9701,4.3
ORD1001,2024-01-02,CUST535,Watch,Electronics,Chennai,4,23411,3543,4.1
ORD1002,2024-01-03,CUST960,Backpack,Electronics,Hyderabad,4,39025,6214,3.2
ORD1003,2024-01-04,CUST370,Shoes,Fashion,Mumbai,4,33056,2722,3.9
ORD1004,2024-01-05,CUST206,Smartphone,Fashion,Hyderabad,4,13095,4250,3.9
ORD1005,2024-01-06,CUST171,Headphones,Accessories,Hyderabad,2,2469,66,4.7
ORD1006,2024-01-07,CUST800,Watch,Electronics,Chennai,4,44253,3241,4.1
ORD1007,2024-01-08,CUST120,Backpack,Electronics,Bangalore,3,17775,442,3.8
ORD1008,2024-01-09,CUST714,Laptop,Fashion,Delhi,4,4970,8666,5.0
ORD1009,2024-01-10,CUST221,Backpack,Electronics,Mumbai,1,10725,6322,3.2
ORD1010,2024-01-11,CUST566,Headphones,Fashion,Chennai,4,42824,621,3.8
ORD1011,2024-01-12,CUST314,Headphones,Electronics,Bangalore,2,42474,3681,3.1
ORD1012,2024-01-13,CUST430,Backpack,Accessories,Delhi,1,43259,6222,4.5
ORD1013,2024-01-14,CUST558,Smartphone,Electronics,Delhi,2,23696,9362,4.8
ORD1014,2024-01-15,CUST187,T-shirt,Electronics,Chennai,2,40787,7227,3.6
ORD1015,2024-01-16,CUST472,Headphones,Fashion,Pune,1,14169,8483,4.7
ORD1016,2024-01-17,CUST199,Backpack,Electronics,Mumbai,2,37880,3947,3.6
ORD1017,2024-01-18,CUST971,Watch,Electronics,Delhi,2,45641,8173,4.8
ORD1018,2024-01-19,CUST763,Backpack,Fashion,Chennai,4,48820,2329,4.5
ORD1019,2024-01-20,CUST230,Shoes,Accessories,Chennai,3,47914,9030,4.6
ORD1020,2024-01-21,CUST761,T-shirt,Accessories,Bangalore,2,38506,7501,3.0
ORD1021,2024-01-22,CUST408,Laptop,Fashion,Pune,2,16077,8956,4.9
ORD1022,2024-01-23,CUST869,Smartphone,Fashion,Mumbai,2,22973,825,4.5
ORD1023,2024-01-24,CUST443,Earbuds,Fashion,Hyderabad,4,29125,6919,3.6
ORD1024,2024-01-25,CUST591,Laptop,Fashion,Bangalore,3,16004,2297,4.7
ORD1025,2024-01-26,CUST513,T-shirt,Fashion,Delhi,1,24589,7138,3.6
ORD1026,2024-01-27,CUST905,T-shirt,Accessories,Delhi,4,36987,128,4.7
ORD1027,2024-01-28,CUST485,T-shirt,Accessories,Bangalore,4,802,8130,3.2
ORD1028,2024-01-29,CUST291,Laptop,Fashion,Chennai,3,31963,7149,4.4
ORD1029,2024-01-30,CUST376,Watch,Electronics,Delhi,3,45412,3976,4.1
ORD1030,2024-01-31,CUST260,T-shirt,Fashion,Pune,4,29759,9097,3.2
ORD1031,2024-02-01,CUST559,Backpack,Electronics,Mumbai,1,43323,7390,3.5
ORD1032,2024-02-02,CUST413,Laptop,Fashion,Pune,4,37708,7133,3.0
ORD1033,2024-02-03,CUST121,Earbuds,Fashion,Delhi,3,31159,6280,3.9
ORD1034,2024-02-04,CUST352,T-shirt,Accessories,Hyderabad,1,36340,9273,3.6
ORD1035,2024-02-05,CUST847,Backpack,Electronics,Mumbai,3,32390,4990,4.2
ORD1036,2024-02-06,CUST956,Watch,Electronics,Mumbai,1,14098,3321,3.6
ORD1037,2024-02-07,CUST660,Shoes,Accessories,Bangalore,2,47555,3506,3.6
ORD1038,2024-02-08,CUST574,Watch,Accessories,Bangalore,3,47233,7838,4.5
ORD1039,2024-02-09,CUST158,Earbuds,Accessories,Hyderabad,3,20008,8649,3.1
ORD1040,2024-02-10,CUST610,T-shirt,Accessories,Chennai,4,42787,7700,4.8
ORD1041,2024-02-11,CUST781,Earbuds,Electronics,Mumbai,3,13880,2761,4.7
ORD1042,2024-02-12,CUST575,Laptop,Electronics,Hyderabad,3,27484,1718,4.3
ORD1043,2024-02-13,CUST799,Headphones,Fashion,Bangalore,2,45133,197,4.2
ORD1044,2024-02-14,CUST882,T-shirt,Fashion,Bangalore,3,8625,6470,4.8
ORD1045,2024-02-15,CUST289,Headphones,Accessories,Mumbai,2,36559,415,3.4
ORD1046,2024-02-16,CUST786,Backpack,Accessories,Pune,2,4533,9916,3.2
ORD1047,2024-02-17,CUST662,Shoes,Accessories,Delhi,2,38373,4581,3.5
ORD1048,2024-02-18,CUST975,Smartphone,Fashion,Bangalore,2,17587,5380,4.6
ORD1049,2024-02-19,CUST666,Earbuds,Fashion,Chennai,1,41401,5560,3.1
ORD1050,2024-02-20,CUST343,Watch,Fashion,Chennai,4,6204,8804,4.2
ORD1051,2024-02-21,CUST931,Shoes,Fashion,Bangalore,1,8348,9014,5.0
ORD1052,2024-02-22,CUST604,T-shirt,Fashion,Pune,3,22092,6543,4.7
ORD1053,2024-02-23,CUST230,Headphones,Fashion,Pune,1,46243,5489,4.0
ORD1054,2024-02-24,CUST584,Watch,Fashion,Hyderabad,1,7424,9815,3.1
ORD1055,2024-02-25,CUST918,Headphones,Accessories,Chennai,3,27708,6561,4.7
ORD1056,2024-02-26,CUST746,Laptop,Accessories,Hyderabad,3,20114,7554,4.2
ORD1057,2024-02-27,CUST120,Headphones,Accessories,Chennai,3,988,1296,3.2
ORD1058,2024-02-28,CUST940,Laptop,Accessories,Delhi,1,40382,3889,3.2
ORD1059,2024-02-29,CUST266,Backpack,Fashion,Delhi,1,26423,8601,4.8
ORD1060,2024-03-01,CUST373,Watch,Electronics,Mumbai,3,49008,2426,4.3
